,QUAD1,QUAD2
1347,"(8, 6)","(8, 7)"
1348,"(8, 6)","(9, 7)"
1349,"(8, 7)","(7, 6)"
1350,"(8, 7)","(8, 6)"
1351,"(8, 7)","(9, 6)"
1352,"(8, 7)","(7, 7)"
1353,"(8, 7)","(9, 7)"
1354,"(8, 7)","(7, 8)"
1355,"(8, 7)","(8, 8)"
1356,"(8, 7)","(9, 8)"
1357,"(8, 8)","(7, 7)"
1358,"(8, 8)","(8, 7)"
1359,"(8, 8)","(9, 7)"
1360,"(8, 8)","(7, 8)"
1361,"(8, 8)","(9, 8)"
1362,"(8, 8)","(7, 9)"
1363,"(8, 8)","(8, 9)"
1364,"(8, 8)","(9, 9)"
1365,"(8, 9)","(7, 8)"
1366,"(8, 9)","(8, 8)"
1367,"(8, 9)","(9, 8)"
1368,"(8, 9)","(7, 9)"
1369,"(8, 9)","(9, 9)"
1370,"(8, 9)","(7, 10)"
1371,"(8, 9)","(8, 10)"
1372,"(8, 9)","(9, 10)"
1373,"(8, 10)","(7, 9)"
1374,"(8, 10)","(8, 9)"
1375,"(8, 10)","(9, 9)"
1376,"(8, 10)","(7, 10)"
1377,"(8, 10)","(9, 10)"
1378,"(8, 10)","(7, 11)"
1379,"(8, 10)","(8, 11)"
1380,"(8, 10)","(9, 11)"
1381,"(8, 11)","(7, 10)"
1382,"(8, 11)","(8, 10)"
1383,"(8, 11)","(9, 10)"
1384,"(8, 11)","(7, 11)"
1385,"(8, 11)","(9, 11)"
1386,"(8, 11)","(7, 12)"
1387,"(8, 11)","(8, 12)"
1388,"(8, 11)","(9, 12)"
1389,"(8, 12)","(7, 11)"
1390,"(8, 12)","(8, 11)"
1391,"(8, 12)","(9, 11)"
1392,"(8, 12)","(7, 12)"
1393,"(8, 12)","(9, 12)"
1394,"(8, 12)","(7, 13)"
1395,"(8, 12)","(8, 13)"
1396,"(8, 12)","(9, 13)"
1397,"(8, 13)","(7, 12)"
1398,"(8, 13)","(8, 12)"
1399,"(8, 13)","(9, 12)"
1400,"(8, 13)","(7, 13)"
1401,"(8, 13)","(9, 13)"
1402,"(8, 13)","(7, 14)"
1403,"(8, 13)","(8, 14)"
1404,"(8, 13)","(9, 14)"
1405,"(8, 14)","(7, 13)"
1406,"(8, 14)","(8, 13)"
1407,"(8, 14)","(9, 13)"
1408,"(8, 14)","(7, 14)"
1409,"(8, 14)","(9, 14)"
1410,"(8, 14)","(7, 15)"
1411,"(8, 14)","(8, 15)"
1412,"(8, 14)","(9, 15)"
1413,"(8, 15)","(7, 14)"
1414,"(8, 15)","(8, 14)"
1415,"(8, 15)","(9, 14)"
1416,"(8, 15)","(7, 15)"
1417,"(8, 15)","(9, 15)"
1418,"(8, 15)","(7, 16)"
1419,"(8, 15)","(8, 16)"
1420,"(8, 15)","(9, 16)"
1421,"(8, 16)","(7, 15)"
1422,"(8, 16)","(8, 15)"
1423,"(8, 16)","(9, 15)"
1424,"(8, 16)","(7, 16)"
1425,"(8, 16)","(9, 16)"
1426,"(8, 16)","(7, 17)"
1427,"(8, 16)","(8, 17)"
1428,"(8, 16)","(9, 17)"
1429,"(8, 17)","(7, 16)"
1430,"(8, 17)","(8, 16)"
1431,"(8, 17)","(9, 16)"
1432,"(8, 17)","(7, 17)"
1433,"(8, 17)","(9, 17)"
1434,"(8, 17)","(7, 18)"
1435,"(8, 17)","(8, 18)"
1436,"(8, 17)","(9, 18)"
1437,"(8, 18)","(7, 17)"
1438,"(8, 18)","(8, 17)"
1439,"(8, 18)","(9, 17)"
1440,"(8, 18)","(7, 18)"
1441,"(8, 18)","(9, 18)"
1442,"(8, 18)","(7, 19)"
1443,"(8, 18)","(8, 19)"
1444,"(8, 18)","(9, 19)"
1445,"(8, 19)","(7, 18)"
1446,"(8, 19)","(8, 18)"
1447,"(8, 19)","(9, 18)"
1448,"(8, 19)","(7, 19)"
1449,"(8, 19)","(9, 19)"
1450,"(8, 19)","(7, 20)"
1451,"(8, 19)","(8, 20)"
1452,"(8, 19)","(9, 20)"
1453,"(8, 20)","(7, 19)"
1454,"(8, 20)","(8, 19)"
1455,"(8, 20)","(9, 19)"
1456,"(8, 20)","(7, 20)"
1457,"(8, 20)","(9, 20)"
1458,"(8, 20)","(7, 21)"
1459,"(8, 20)","(8, 21)"
1460,"(8, 20)","(9, 21)"
1461,"(8, 21)","(7, 20)"
1462,"(8, 21)","(8, 20)"
1463,"(8, 21)","(9, 20)"
1464,"(8, 21)","(7, 21)"
1465,"(8, 21)","(9, 21)"
1466,"(9, 0)","(8, 0)"
1467,"(9, 0)","(10, 0)"
1468,"(9, 0)","(8, 1)"
1469,"(9, 0)","(9, 1)"
1470,"(9, 0)","(10, 1)"
1471,"(9, 1)","(8, 0)"
1472,"(9, 1)","(9, 0)"
1473,"(9, 1)","(10, 0)"
1474,"(9, 1)","(8, 1)"
1475,"(9, 1)","(10, 1)"
1476,"(9, 1)","(8, 2)"
1477,"(9, 1)","(9, 2)"
1478,"(9, 1)","(10, 2)"
1479,"(9, 2)","(8, 1)"
1480,"(9, 2)","(9, 1)"
1481,"(9, 2)","(10, 1)"
1482,"(9, 2)","(8, 2)"
1483,"(9, 2)","(10, 2)"
1484,"(9, 2)","(8, 3)"
1485,"(9, 2)","(9, 3)"
1486,"(9, 2)","(10, 3)"
1487,"(9, 3)","(8, 2)"
1488,"(9, 3)","(9, 2)"
1489,"(9, 3)","(10, 2)"
1490,"(9, 3)","(8, 3)"
1491,"(9, 3)","(10, 3)"
1492,"(9, 3)","(8, 4)"
1493,"(9, 3)","(9, 4)"
1494,"(9, 3)","(10, 4)"
1495,"(9, 4)","(8, 3)"
1496,"(9, 4)","(9, 3)"
1497,"(9, 4)","(10, 3)"
1498,"(9, 4)","(8, 4)"
1499,"(9, 4)","(10, 4)"
1500,"(9, 4)","(8, 5)"
1501,"(9, 4)","(9, 5)"
1502,"(9, 4)","(10, 5)"
1503,"(9, 5)","(8, 4)"
1504,"(9, 5)","(9, 4)"
1505,"(9, 5)","(10, 4)"
1506,"(9, 5)","(8, 5)"
1507,"(9, 5)","(10, 5)"
1508,"(9, 5)","(8, 6)"
1509,"(9, 5)","(9, 6)"
1510,"(9, 5)","(10, 6)"
1511,"(9, 6)","(8, 5)"
1512,"(9, 6)","(9, 5)"
1513,"(9, 6)","(10, 5)"
1514,"(9, 6)","(8, 6)"
1515,"(9, 6)","(10, 6)"
1516,"(9, 6)","(8, 7)"
1517,"(9, 6)","(9, 7)"
1518,"(9, 6)","(10, 7)"
1519,"(9, 7)","(8, 6)"
1520,"(9, 7)","(9, 6)"
1521,"(9, 7)","(10, 6)"
1522,"(9, 7)","(8, 7)"
1523,"(9, 7)","(10, 7)"
1524,"(9, 7)","(8, 8)"
1525,"(9, 7)","(9, 8)"
1526,"(9, 7)","(10, 8)"
1527,"(9, 8)","(8, 7)"
1528,"(9, 8)","(9, 7)"
1529,"(9, 8)","(10, 7)"
1530,"(9, 8)","(8, 8)"
1531,"(9, 8)","(10, 8)"
1532,"(9, 8)","(8, 9)"
1533,"(9, 8)","(9, 9)"
1534,"(9, 8)","(10, 9)"
1535,"(9, 9)","(8, 8)"
1536,"(9, 9)","(9, 8)"
1537,"(9, 9)","(10, 8)"
1538,"(9, 9)","(8, 9)"
1539,"(9, 9)","(10, 9)"
1540,"(9, 9)","(8, 10)"
1541,"(9, 9)","(9, 10)"
1542,"(9, 9)","(10, 10)"
1543,"(9, 10)","(8, 9)"
1544,"(9, 10)","(9, 9)"
1545,"(9, 10)","(10, 9)"
1546,"(9, 10)","(8, 10)"
1547,"(9, 10)","(10, 10)"
1548,"(9, 10)","(8, 11)"
1549,"(9, 10)","(9, 11)"
1550,"(9, 10)","(10, 11)"
1551,"(9, 11)","(8, 10)"
1552,"(9, 11)","(9, 10)"
1553,"(9, 11)","(10, 10)"
1554,"(9, 11)","(8, 11)"
1555,"(9, 11)","(10, 11)"
1556,"(9, 11)","(8, 12)"
1557,"(9, 11)","(9, 12)"
1558,"(9, 11)","(10, 12)"
1559,"(9, 12)","(8, 11)"
1560,"(9, 12)","(9, 11)"
1561,"(9, 12)","(10, 11)"
1562,"(9, 12)","(8, 12)"
1563,"(9, 12)","(10, 12)"
1564,"(9, 12)","(8, 13)"
1565,"(9, 12)","(9, 13)"
1566,"(9, 12)","(10, 13)"
1567,"(9, 13)","(8, 12)"
1568,"(9, 13)","(9, 12)"
1569,"(9, 13)","(10, 12)"
1570,"(9, 13)","(8, 13)"
1571,"(9, 13)","(10, 13)"
1572,"(9, 13)","(8, 14)"
1573,"(9, 13)","(9, 14)"
1574,"(9, 13)","(10, 14)"
1575,"(9, 14)","(8, 13)"
1576,"(9, 14)","(9, 13)"
1577,"(9, 14)","(10, 13)"
1578,"(9, 14)","(8, 14)"
1579,"(9, 14)","(10, 14)"
1580,"(9, 14)","(8, 15)"
1581,"(9, 14)","(9, 15)"
1582,"(9, 14)","(10, 15)"
1583,"(9, 15)","(8, 14)"
1584,"(9, 15)","(9, 14)"
1585,"(9, 15)","(10, 14)"
1586,"(9, 15)","(8, 15)"
1587,"(9, 15)","(10, 15)"
1588,"(9, 15)","(8, 16)"
1589,"(9, 15)","(9, 16)"
1590,"(9, 15)","(10, 16)"
1591,"(9, 16)","(8, 15)"
1592,"(9, 16)","(9, 15)"
1593,"(9, 16)","(10, 15)"
1594,"(9, 16)","(8, 16)"
1595,"(9, 16)","(10, 16)"
1596,"(9, 16)","(8, 17)"
1597,"(9, 16)","(9, 17)"
1598,"(9, 16)","(10, 17)"
1599,"(9, 17)","(8, 16)"
1600,"(9, 17)","(9, 16)"
1601,"(9, 17)","(10, 16)"
1602,"(9, 17)","(8, 17)"
1603,"(9, 17)","(10, 17)"
1604,"(9, 17)","(8, 18)"
1605,"(9, 17)","(9, 18)"
1606,"(9, 17)","(10, 18)"
1607,"(9, 18)","(8, 17)"
1608,"(9, 18)","(9, 17)"
1609,"(9, 18)","(10, 17)"
1610,"(9, 18)","(8, 18)"
1611,"(9, 18)","(10, 18)"
1612,"(9, 18)","(8, 19)"
1613,"(9, 18)","(9, 19)"
1614,"(9, 18)","(10, 19)"
1615,"(9, 19)","(8, 18)"
1616,"(9, 19)","(9, 18)"
1617,"(9, 19)","(10, 18)"
1618,"(9, 19)","(8, 19)"
1619,"(9, 19)","(10, 19)"
1620,"(9, 19)","(8, 20)"
1621,"(9, 19)","(9, 20)"
1622,"(9, 19)","(10, 20)"
1623,"(9, 20)","(8, 19)"
1624,"(9, 20)","(9, 19)"
1625,"(9, 20)","(10, 19)"
1626,"(9, 20)","(8, 20)"
1627,"(9, 20)","(10, 20)"
1628,"(9, 20)","(8, 21)"
1629,"(9, 20)","(9, 21)"
1630,"(9, 20)","(10, 21)"
1631,"(9, 21)","(8, 20)"
1632,"(9, 21)","(9, 20)"
1633,"(9, 21)","(10, 20)"
1634,"(9, 21)","(8, 21)"
1635,"(9, 21)","(10, 21)"
1636,"(10, 0)","(9, 0)"
1637,"(10, 0)","(11, 0)"
1638,"(10, 0)","(9, 1)"
1639,"(10, 0)","(10, 1)"
1640,"(10, 0)","(11, 1)"
1641,"(10, 1)","(9, 0)"
1642,"(10, 1)","(10, 0)"
1643,"(10, 1)","(11, 0)"
1644,"(10, 1)","(9, 1)"
1645,"(10, 1)","(11, 1)"
1646,"(10, 1)","(9, 2)"
1647,"(10, 1)","(10, 2)"
1648,"(10, 1)","(11, 2)"
1649,"(10, 2)","(9, 1)"
1650,"(10, 2)","(10, 1)"
1651,"(10, 2)","(11, 1)"
1652,"(10, 2)","(9, 2)"
1653,"(10, 2)","(11, 2)"
1654,"(10, 2)","(9, 3)"
1655,"(10, 2)","(10, 3)"
1656,"(10, 2)","(11, 3)"
1657,"(10, 3)","(9, 2)"
1658,"(10, 3)","(10, 2)"
1659,"(10, 3)","(11, 2)"
1660,"(10, 3)","(9, 3)"
1661,"(10, 3)","(11, 3)"
1662,"(10, 3)","(9, 4)"
1663,"(10, 3)","(10, 4)"
1664,"(10, 3)","(11, 4)"
1665,"(10, 4)","(9, 3)"
1666,"(10, 4)","(10, 3)"
1667,"(10, 4)","(11, 3)"
1668,"(10, 4)","(9, 4)"
1669,"(10, 4)","(11, 4)"
1670,"(10, 4)","(9, 5)"
1671,"(10, 4)","(10, 5)"
1672,"(10, 4)","(11, 5)"
1673,"(10, 5)","(9, 4)"
1674,"(10, 5)","(10, 4)"
1675,"(10, 5)","(11, 4)"
1676,"(10, 5)","(9, 5)"
1677,"(10, 5)","(11, 5)"
1678,"(10, 5)","(9, 6)"
1679,"(10, 5)","(10, 6)"
1680,"(10, 5)","(11, 6)"
1681,"(10, 6)","(9, 5)"
1682,"(10, 6)","(10, 5)"
1683,"(10, 6)","(11, 5)"
1684,"(10, 6)","(9, 6)"
1685,"(10, 6)","(11, 6)"
1686,"(10, 6)","(9, 7)"
1687,"(10, 6)","(10, 7)"
1688,"(10, 6)","(11, 7)"
1689,"(10, 7)","(9, 6)"
1690,"(10, 7)","(10, 6)"
1691,"(10, 7)","(11, 6)"
1692,"(10, 7)","(9, 7)"
1693,"(10, 7)","(11, 7)"
1694,"(10, 7)","(9, 8)"
1695,"(10, 7)","(10, 8)"
1696,"(10, 7)","(11, 8)"
1697,"(10, 8)","(9, 7)"
1698,"(10, 8)","(10, 7)"
1699,"(10, 8)","(11, 7)"
1700,"(10, 8)","(9, 8)"
1701,"(10, 8)","(11, 8)"
1702,"(10, 8)","(9, 9)"
1703,"(10, 8)","(10, 9)"
1704,"(10, 8)","(11, 9)"
1705,"(10, 9)","(9, 8)"
1706,"(10, 9)","(10, 8)"
1707,"(10, 9)","(11, 8)"
1708,"(10, 9)","(9, 9)"
1709,"(10, 9)","(11, 9)"
1710,"(10, 9)","(9, 10)"
1711,"(10, 9)","(10, 10)"
1712,"(10, 9)","(11, 10)"
1713,"(10, 10)","(9, 9)"
1714,"(10, 10)","(10, 9)"
1715,"(10, 10)","(11, 9)"
1716,"(10, 10)","(9, 10)"
1717,"(10, 10)","(11, 10)"
1718,"(10, 10)","(9, 11)"
1719,"(10, 10)","(10, 11)"
1720,"(10, 10)","(11, 11)"
1721,"(10, 11)","(9, 10)"
1722,"(10, 11)","(10, 10)"
1723,"(10, 11)","(11, 10)"
1724,"(10, 11)","(9, 11)"
1725,"(10, 11)","(11, 11)"
1726,"(10, 11)","(9, 12)"
1727,"(10, 11)","(10, 12)"
1728,"(10, 11)","(11, 12)"
1729,"(10, 12)","(9, 11)"
1730,"(10, 12)","(10, 11)"
1731,"(10, 12)","(11, 11)"
1732,"(10, 12)","(9, 12)"
1733,"(10, 12)","(11, 12)"
1734,"(10, 12)","(9, 13)"
1735,"(10, 12)","(10, 13)"
1736,"(10, 12)","(11, 13)"
1737,"(10, 13)","(9, 12)"
1738,"(10, 13)","(10, 12)"
1739,"(10, 13)","(11, 12)"
1740,"(10, 13)","(9, 13)"
1741,"(10, 13)","(11, 13)"
1742,"(10, 13)","(9, 14)"
1743,"(10, 13)","(10, 14)"
1744,"(10, 13)","(11, 14)"
1745,"(10, 14)","(9, 13)"
1746,"(10, 14)","(10, 13)"
1747,"(10, 14)","(11, 13)"
1748,"(10, 14)","(9, 14)"
1749,"(10, 14)","(11, 14)"
1750,"(10, 14)","(9, 15)"
1751,"(10, 14)","(10, 15)"
1752,"(10, 14)","(11, 15)"
1753,"(10, 15)","(9, 14)"
1754,"(10, 15)","(10, 14)"
1755,"(10, 15)","(11, 14)"
1756,"(10, 15)","(9, 15)"
1757,"(10, 15)","(11, 15)"
1758,"(10, 15)","(9, 16)"
1759,"(10, 15)","(10, 16)"
1760,"(10, 15)","(11, 16)"
1761,"(10, 16)","(9, 15)"
1762,"(10, 16)","(10, 15)"
1763,"(10, 16)","(11, 15)"
1764,"(10, 16)","(9, 16)"
1765,"(10, 16)","(11, 16)"
1766,"(10, 16)","(9, 17)"
1767,"(10, 16)","(10, 17)"
1768,"(10, 16)","(11, 17)"
1769,"(10, 17)","(9, 16)"
1770,"(10, 17)","(10, 16)"
1771,"(10, 17)","(11, 16)"
1772,"(10, 17)","(9, 17)"
1773,"(10, 17)","(11, 17)"
1774,"(10, 17)","(9, 18)"
1775,"(10, 17)","(10, 18)"
1776,"(10, 17)","(11, 18)"
1777,"(10, 18)","(9, 17)"
1778,"(10, 18)","(10, 17)"
1779,"(10, 18)","(11, 17)"
1780,"(10, 18)","(9, 18)"
1781,"(10, 18)","(11, 18)"
1782,"(10, 18)","(9, 19)"
1783,"(10, 18)","(10, 19)"
1784,"(10, 18)","(11, 19)"
1785,"(10, 19)","(9, 18)"
1786,"(10, 19)","(10, 18)"
1787,"(10, 19)","(11, 18)"
1788,"(10, 19)","(9, 19)"
1789,"(10, 19)","(11, 19)"
1790,"(10, 19)","(9, 20)"
1791,"(10, 19)","(10, 20)"
1792,"(10, 19)","(11, 20)"
1793,"(10, 20)","(9, 19)"
1794,"(10, 20)","(10, 19)"
1795,"(10, 20)","(11, 19)"
1796,"(10, 20)","(9, 20)"
1797,"(10, 20)","(11, 20)"
1798,"(10, 20)","(9, 21)"
1799,"(10, 20)","(10, 21)"
1800,"(10, 20)","(11, 21)"
1801,"(10, 21)","(9, 20)"
1802,"(10, 21)","(10, 20)"
1803,"(10, 21)","(11, 20)"
1804,"(10, 21)","(9, 21)"
1805,"(10, 21)","(11, 21)"
1806,"(11, 0)","(10, 0)"
1807,"(11, 0)","(12, 0)"
1808,"(11, 0)","(10, 1)"
1809,"(11, 0)","(11, 1)"
1810,"(11, 0)","(12, 1)"
1811,"(11, 1)","(10, 0)"
1812,"(11, 1)","(11, 0)"
1813,"(11, 1)","(12, 0)"
1814,"(11, 1)","(10, 1)"
1815,"(11, 1)","(12, 1)"
1816,"(11, 1)","(10, 2)"
1817,"(11, 1)","(11, 2)"
1818,"(11, 1)","(12, 2)"
1819,"(11, 2)","(10, 1)"
1820,"(11, 2)","(11, 1)"
1821,"(11, 2)","(12, 1)"
1822,"(11, 2)","(10, 2)"
1823,"(11, 2)","(12, 2)"
1824,"(11, 2)","(10, 3)"
1825,"(11, 2)","(11, 3)"
1826,"(11, 2)","(12, 3)"
1827,"(11, 3)","(10, 2)"
1828,"(11, 3)","(11, 2)"
1829,"(11, 3)","(12, 2)"
1830,"(11, 3)","(10, 3)"
1831,"(11, 3)","(12, 3)"
1832,"(11, 3)","(10, 4)"
1833,"(11, 3)","(11, 4)"
1834,"(11, 3)","(12, 4)"
1835,"(11, 4)","(10, 3)"
1836,"(11, 4)","(11, 3)"
1837,"(11, 4)","(12, 3)"
1838,"(11, 4)","(10, 4)"
1839,"(11, 4)","(12, 4)"
1840,"(11, 4)","(10, 5)"
1841,"(11, 4)","(11, 5)"
1842,"(11, 4)","(12, 5)"
1843,"(11, 5)","(10, 4)"
1844,"(11, 5)","(11, 4)"
1845,"(11, 5)","(12, 4)"
1846,"(11, 5)","(10, 5)"
1847,"(11, 5)","(12, 5)"
1848,"(11, 5)","(10, 6)"
1849,"(11, 5)","(11, 6)"
1850,"(11, 5)","(12, 6)"
1851,"(11, 6)","(10, 5)"
1852,"(11, 6)","(11, 5)"
1853,"(11, 6)","(12, 5)"
1854,"(11, 6)","(10, 6)"
1855,"(11, 6)","(12, 6)"
1856,"(11, 6)","(10, 7)"
1857,"(11, 6)","(11, 7)"
1858,"(11, 6)","(12, 7)"
1859,"(11, 7)","(10, 6)"
1860,"(11, 7)","(11, 6)"
1861,"(11, 7)","(12, 6)"
1862,"(11, 7)","(10, 7)"
1863,"(11, 7)","(12, 7)"
1864,"(11, 7)","(10, 8)"
1865,"(11, 7)","(11, 8)"
1866,"(11, 7)","(12, 8)"
1867,"(11, 8)","(10, 7)"
1868,"(11, 8)","(11, 7)"
1869,"(11, 8)","(12, 7)"
1870,"(11, 8)","(10, 8)"
1871,"(11, 8)","(12, 8)"
1872,"(11, 8)","(10, 9)"
1873,"(11, 8)","(11, 9)"
1874,"(11, 8)","(12, 9)"
1875,"(11, 9)","(10, 8)"
1876,"(11, 9)","(11, 8)"
1877,"(11, 9)","(12, 8)"
1878,"(11, 9)","(10, 9)"
1879,"(11, 9)","(12, 9)"
1880,"(11, 9)","(10, 10)"
1881,"(11, 9)","(11, 10)"
1882,"(11, 9)","(12, 10)"
1883,"(11, 10)","(10, 9)"
1884,"(11, 10)","(11, 9)"
1885,"(11, 10)","(12, 9)"
1886,"(11, 10)","(10, 10)"
1887,"(11, 10)","(12, 10)"
1888,"(11, 10)","(10, 11)"
1889,"(11, 10)","(11, 11)"
1890,"(11, 10)","(12, 11)"
1891,"(11, 11)","(10, 10)"
1892,"(11, 11)","(11, 10)"
1893,"(11, 11)","(12, 10)"
1894,"(11, 11)","(10, 11)"
1895,"(11, 11)","(12, 11)"
1896,"(11, 11)","(10, 12)"
1897,"(11, 11)","(11, 12)"
1898,"(11, 11)","(12, 12)"
1899,"(11, 12)","(10, 11)"
1900,"(11, 12)","(11, 11)"
1901,"(11, 12)","(12, 11)"
1902,"(11, 12)","(10, 12)"
1903,"(11, 12)","(12, 12)"
1904,"(11, 12)","(10, 13)"
1905,"(11, 12)","(11, 13)"
1906,"(11, 12)","(12, 13)"
1907,"(11, 13)","(10, 12)"
1908,"(11, 13)","(11, 12)"
1909,"(11, 13)","(12, 12)"
1910,"(11, 13)","(10, 13)"
1911,"(11, 13)","(12, 13)"
1912,"(11, 13)","(10, 14)"
1913,"(11, 13)","(11, 14)"
1914,"(11, 13)","(12, 14)"
1915,"(11, 14)","(10, 13)"
1916,"(11, 14)","(11, 13)"
1917,"(11, 14)","(12, 13)"
1918,"(11, 14)","(10, 14)"
1919,"(11, 14)","(12, 14)"
1920,"(11, 14)","(10, 15)"
1921,"(11, 14)","(11, 15)"
1922,"(11, 14)","(12, 15)"
1923,"(11, 15)","(10, 14)"
1924,"(11, 15)","(11, 14)"
1925,"(11, 15)","(12, 14)"
1926,"(11, 15)","(10, 15)"
1927,"(11, 15)","(12, 15)"
1928,"(11, 15)","(10, 16)"
1929,"(11, 15)","(11, 16)"
1930,"(11, 15)","(12, 16)"
1931,"(11, 16)","(10, 15)"
1932,"(11, 16)","(11, 15)"
1933,"(11, 16)","(12, 15)"
1934,"(11, 16)","(10, 16)"
1935,"(11, 16)","(12, 16)"
1936,"(11, 16)","(10, 17)"
1937,"(11, 16)","(11, 17)"
1938,"(11, 16)","(12, 17)"
1939,"(11, 17)","(10, 16)"
1940,"(11, 17)","(11, 16)"
1941,"(11, 17)","(12, 16)"
1942,"(11, 17)","(10, 17)"
1943,"(11, 17)","(12, 17)"
1944,"(11, 17)","(10, 18)"
1945,"(11, 17)","(11, 18)"
1946,"(11, 17)","(12, 18)"
1947,"(11, 18)","(10, 17)"
1948,"(11, 18)","(11, 17)"
1949,"(11, 18)","(12, 17)"
1950,"(11, 18)","(10, 18)"
1951,"(11, 18)","(12, 18)"
1952,"(11, 18)","(10, 19)"
1953,"(11, 18)","(11, 19)"
1954,"(11, 18)","(12, 19)"
1955,"(11, 19)","(10, 18)"
1956,"(11, 19)","(11, 18)"
1957,"(11, 19)","(12, 18)"
1958,"(11, 19)","(10, 19)"
1959,"(11, 19)","(12, 19)"
1960,"(11, 19)","(10, 20)"
1961,"(11, 19)","(11, 20)"
1962,"(11, 19)","(12, 20)"
1963,"(11, 20)","(10, 19)"
1964,"(11, 20)","(11, 19)"
1965,"(11, 20)","(12, 19)"
1966,"(11, 20)","(10, 20)"
1967,"(11, 20)","(12, 20)"
1968,"(11, 20)","(10, 21)"
1969,"(11, 20)","(11, 21)"
1970,"(11, 20)","(12, 21)"
1971,"(11, 21)","(10, 20)"
1972,"(11, 21)","(11, 20)"
1973,"(11, 21)","(12, 20)"
1974,"(11, 21)","(10, 21)"
1975,"(11, 21)","(12, 21)"
1976,"(12, 0)","(11, 0)"
1977,"(12, 0)","(13, 0)"
1978,"(12, 0)","(11, 1)"
1979,"(12, 0)","(12, 1)"
1980,"(12, 0)","(13, 1)"
1981,"(12, 1)","(11, 0)"
1982,"(12, 1)","(12, 0)"
1983,"(12, 1)","(13, 0)"
1984,"(12, 1)","(11, 1)"
1985,"(12, 1)","(13, 1)"
1986,"(12, 1)","(11, 2)"
1987,"(12, 1)","(12, 2)"
1988,"(12, 1)","(13, 2)"
1989,"(12, 2)","(11, 1)"
1990,"(12, 2)","(12, 1)"
1991,"(12, 2)","(13, 1)"
1992,"(12, 2)","(11, 2)"
1993,"(12, 2)","(13, 2)"
1994,"(12, 2)","(11, 3)"
1995,"(12, 2)","(12, 3)"
1996,"(12, 2)","(13, 3)"
1997,"(12, 3)","(11, 2)"
1998,"(12, 3)","(12, 2)"
1999,"(12, 3)","(13, 2)"
2000,"(12, 3)","(11, 3)"
2001,"(12, 3)","(13, 3)"
2002,"(12, 3)","(11, 4)"
2003,"(12, 3)","(12, 4)"
2004,"(12, 3)","(13, 4)"
2005,"(12, 4)","(11, 3)"
2006,"(12, 4)","(12, 3)"
2007,"(12, 4)","(13, 3)"
2008,"(12, 4)","(11, 4)"
2009,"(12, 4)","(13, 4)"
2010,"(12, 4)","(11, 5)"
2011,"(12, 4)","(12, 5)"
2012,"(12, 4)","(13, 5)"
2013,"(12, 5)","(11, 4)"
2014,"(12, 5)","(12, 4)"
2015,"(12, 5)","(13, 4)"
2016,"(12, 5)","(11, 5)"
2017,"(12, 5)","(13, 5)"
2018,"(12, 5)","(11, 6)"
2019,"(12, 5)","(12, 6)"
2020,"(12, 5)","(13, 6)"
2021,"(12, 6)","(11, 5)"
2022,"(12, 6)","(12, 5)"
2023,"(12, 6)","(13, 5)"
2024,"(12, 6)","(11, 6)"
2025,"(12, 6)","(13, 6)"
2026,"(12, 6)","(11, 7)"
2027,"(12, 6)","(12, 7)"
2028,"(12, 6)","(13, 7)"
2029,"(12, 7)","(11, 6)"
2030,"(12, 7)","(12, 6)"
2031,"(12, 7)","(13, 6)"
2032,"(12, 7)","(11, 7)"
2033,"(12, 7)","(13, 7)"
2034,"(12, 7)","(11, 8)"
2035,"(12, 7)","(12, 8)"
2036,"(12, 7)","(13, 8)"
2037,"(12, 8)","(11, 7)"
2038,"(12, 8)","(12, 7)"
2039,"(12, 8)","(13, 7)"
2040,"(12, 8)","(11, 8)"
2041,"(12, 8)","(13, 8)"
2042,"(12, 8)","(11, 9)"
2043,"(12, 8)","(12, 9)"
2044,"(12, 8)","(13, 9)"
2045,"(12, 9)","(11, 8)"
2046,"(12, 9)","(12, 8)"
2047,"(12, 9)","(13, 8)"
2048,"(12, 9)","(11, 9)"
2049,"(12, 9)","(13, 9)"
2050,"(12, 9)","(11, 10)"
2051,"(12, 9)","(12, 10)"
2052,"(12, 9)","(13, 10)"
2053,"(12, 10)","(11, 9)"
2054,"(12, 10)","(12, 9)"
2055,"(12, 10)","(13, 9)"
2056,"(12, 10)","(11, 10)"
2057,"(12, 10)","(13, 10)"
2058,"(12, 10)","(11, 11)"
2059,"(12, 10)","(12, 11)"
2060,"(12, 10)","(13, 11)"
2061,"(12, 11)","(11, 10)"
2062,"(12, 11)","(12, 10)"
2063,"(12, 11)","(13, 10)"
2064,"(12, 11)","(11, 11)"
2065,"(12, 11)","(13, 11)"
2066,"(12, 11)","(11, 12)"
2067,"(12, 11)","(12, 12)"
2068,"(12, 11)","(13, 12)"
2069,"(12, 12)","(11, 11)"
2070,"(12, 12)","(12, 11)"
2071,"(12, 12)","(13, 11)"
2072,"(12, 12)","(11, 12)"
2073,"(12, 12)","(13, 12)"
2074,"(12, 12)","(11, 13)"
2075,"(12, 12)","(12, 13)"
2076,"(12, 12)","(13, 13)"
2077,"(12, 13)","(11, 12)"
2078,"(12, 13)","(12, 12)"
2079,"(12, 13)","(13, 12)"
2080,"(12, 13)","(11, 13)"
2081,"(12, 13)","(13, 13)"
2082,"(12, 13)","(11, 14)"
