,ID,LAT_MIN,LAT_MAX,LON_MIN,LON_MAX
151,"(6, 19)",-23.7858564,-23.7588394,-46.309237808,-46.282220808000005
152,"(6, 20)",-23.7858564,-23.7588394,-46.282210808,-46.25519380800001
153,"(6, 21)",-23.7858564,-23.7588394,-46.255183808000005,-46.228166808000005
154,"(7, 0)",-23.7588294,-23.7318124,-46.822750808,-46.79573380800001
155,"(7, 1)",-23.7588294,-23.7318124,-46.795723808000005,-46.768706808000005
156,"(7, 2)",-23.7588294,-23.7318124,-46.768696808,-46.74167980800001
157,"(7, 3)",-23.7588294,-23.7318124,-46.741669808000005,-46.714652808000004
158,"(7, 4)",-23.7588294,-23.7318124,-46.714642808,-46.68762580800001
159,"(7, 5)",-23.7588294,-23.7318124,-46.687615808000004,-46.660598808
160,"(7, 6)",-23.7588294,-23.7318124,-46.660588808,-46.633571808000006
161,"(7, 7)",-23.7588294,-23.7318124,-46.633561808,-46.606544808
162,"(7, 8)",-23.7588294,-23.7318124,-46.606534808,-46.579517808000006
163,"(7, 9)",-23.7588294,-23.7318124,-46.579507808,-46.552490808
164,"(7, 10)",-23.7588294,-23.7318124,-46.552480808,-46.525463808000005
165,"(7, 11)",-23.7588294,-23.7318124,-46.525453808,-46.49843680800001
166,"(7, 12)",-23.7588294,-23.7318124,-46.498426808000005,-46.471409808000004
167,"(7, 13)",-23.7588294,-23.7318124,-46.471399808,-46.44438280800001
168,"(7, 14)",-23.7588294,-23.7318124,-46.444372808000004,-46.417355808
169,"(7, 15)",-23.7588294,-23.7318124,-46.417345808,-46.39032880800001
170,"(7, 16)",-23.7588294,-23.7318124,-46.390318808,-46.363301808
171,"(7, 17)",-23.7588294,-23.7318124,-46.363291808,-46.336274808000006
172,"(7, 18)",-23.7588294,-23.7318124,-46.336264808,-46.309247808
173,"(7, 19)",-23.7588294,-23.7318124,-46.309237808,-46.282220808000005
174,"(7, 20)",-23.7588294,-23.7318124,-46.282210808,-46.25519380800001
175,"(7, 21)",-23.7588294,-23.7318124,-46.255183808000005,-46.228166808000005
176,"(8, 0)",-23.7318024,-23.7047854,-46.822750808,-46.79573380800001
177,"(8, 1)",-23.7318024,-23.7047854,-46.795723808000005,-46.768706808000005
178,"(8, 2)",-23.7318024,-23.7047854,-46.768696808,-46.74167980800001
179,"(8, 3)",-23.7318024,-23.7047854,-46.741669808000005,-46.714652808000004
180,"(8, 4)",-23.7318024,-23.7047854,-46.714642808,-46.68762580800001
181,"(8, 5)",-23.7318024,-23.7047854,-46.687615808000004,-46.660598808
182,"(8, 6)",-23.7318024,-23.7047854,-46.660588808,-46.633571808000006
183,"(8, 7)",-23.7318024,-23.7047854,-46.633561808,-46.606544808
184,"(8, 8)",-23.7318024,-23.7047854,-46.606534808,-46.579517808000006
185,"(8, 9)",-23.7318024,-23.7047854,-46.579507808,-46.552490808
186,"(8, 10)",-23.7318024,-23.7047854,-46.552480808,-46.525463808000005
187,"(8, 11)",-23.7318024,-23.7047854,-46.525453808,-46.49843680800001
188,"(8, 12)",-23.7318024,-23.7047854,-46.498426808000005,-46.471409808000004
189,"(8, 13)",-23.7318024,-23.7047854,-46.471399808,-46.44438280800001
190,"(8, 14)",-23.7318024,-23.7047854,-46.444372808000004,-46.417355808
191,"(8, 15)",-23.7318024,-23.7047854,-46.417345808,-46.39032880800001
192,"(8, 16)",-23.7318024,-23.7047854,-46.390318808,-46.363301808
193,"(8, 17)",-23.7318024,-23.7047854,-46.363291808,-46.336274808000006
194,"(8, 18)",-23.7318024,-23.7047854,-46.336264808,-46.309247808
195,"(8, 19)",-23.7318024,-23.7047854,-46.309237808,-46.282220808000005
196,"(8, 20)",-23.7318024,-23.7047854,-46.282210808,-46.25519380800001
197,"(8, 21)",-23.7318024,-23.7047854,-46.255183808000005,-46.228166808000005
198,"(9, 0)",-23.7047754,-23.6777584,-46.822750808,-46.79573380800001
199,"(9, 1)",-23.7047754,-23.6777584,-46.795723808000005,-46.768706808000005
200,"(9, 2)",-23.7047754,-23.6777584,-46.768696808,-46.74167980800001
201,"(9, 3)",-23.7047754,-23.6777584,-46.741669808000005,-46.714652808000004
202,"(9, 4)",-23.7047754,-23.6777584,-46.714642808,-46.68762580800001
203,"(9, 5)",-23.7047754,-23.6777584,-46.687615808000004,-46.660598808
204,"(9, 6)",-23.7047754,-23.6777584,-46.660588808,-46.633571808000006
205,"(9, 7)",-23.7047754,-23.6777584,-46.633561808,-46.606544808
206,"(9, 8)",-23.7047754,-23.6777584,-46.606534808,-46.579517808000006
207,"(9, 9)",-23.7047754,-23.6777584,-46.579507808,-46.552490808
208,"(9, 10)",-23.7047754,-23.6777584,-46.552480808,-46.525463808000005
209,"(9, 11)",-23.7047754,-23.6777584,-46.525453808,-46.49843680800001
210,"(9, 12)",-23.7047754,-23.6777584,-46.498426808000005,-46.471409808000004
211,"(9, 13)",-23.7047754,-23.6777584,-46.471399808,-46.44438280800001
212,"(9, 14)",-23.7047754,-23.6777584,-46.444372808000004,-46.417355808
213,"(9, 15)",-23.7047754,-23.6777584,-46.417345808,-46.39032880800001
214,"(9, 16)",-23.7047754,-23.6777584,-46.390318808,-46.363301808
215,"(9, 17)",-23.7047754,-23.6777584,-46.363291808,-46.336274808000006
216,"(9, 18)",-23.7047754,-23.6777584,-46.336264808,-46.309247808
217,"(9, 19)",-23.7047754,-23.6777584,-46.309237808,-46.282220808000005
218,"(9, 20)",-23.7047754,-23.6777584,-46.282210808,-46.25519380800001
219,"(9, 21)",-23.7047754,-23.6777584,-46.255183808000005,-46.228166808000005
220,"(10, 0)",-23.6777484,-23.650731399999998,-46.822750808,-46.79573380800001
221,"(10, 1)",-23.6777484,-23.650731399999998,-46.795723808000005,-46.768706808000005
222,"(10, 2)",-23.6777484,-23.650731399999998,-46.768696808,-46.74167980800001
223,"(10, 3)",-23.6777484,-23.650731399999998,-46.741669808000005,-46.714652808000004
224,"(10, 4)",-23.6777484,-23.650731399999998,-46.714642808,-46.68762580800001
225,"(10, 5)",-23.6777484,-23.650731399999998,-46.687615808000004,-46.660598808
226,"(10, 6)",-23.6777484,-23.650731399999998,-46.660588808,-46.633571808000006
227,"(10, 7)",-23.6777484,-23.650731399999998,-46.633561808,-46.606544808
228,"(10, 8)",-23.6777484,-23.650731399999998,-46.606534808,-46.579517808000006
229,"(10, 9)",-23.6777484,-23.650731399999998,-46.579507808,-46.552490808
230,"(10, 10)",-23.6777484,-23.650731399999998,-46.552480808,-46.525463808000005
231,"(10, 11)",-23.6777484,-23.650731399999998,-46.525453808,-46.49843680800001
232,"(10, 12)",-23.6777484,-23.650731399999998,-46.498426808000005,-46.471409808000004
233,"(10, 13)",-23.6777484,-23.650731399999998,-46.471399808,-46.44438280800001
234,"(10, 14)",-23.6777484,-23.650731399999998,-46.444372808000004,-46.417355808
235,"(10, 15)",-23.6777484,-23.650731399999998,-46.417345808,-46.39032880800001
236,"(10, 16)",-23.6777484,-23.650731399999998,-46.390318808,-46.363301808
237,"(10, 17)",-23.6777484,-23.650731399999998,-46.363291808,-46.336274808000006
238,"(10, 18)",-23.6777484,-23.650731399999998,-46.336264808,-46.309247808
239,"(10, 19)",-23.6777484,-23.650731399999998,-46.309237808,-46.282220808000005
240,"(10, 20)",-23.6777484,-23.650731399999998,-46.282210808,-46.25519380800001
241,"(10, 21)",-23.6777484,-23.650731399999998,-46.255183808000005,-46.228166808000005
242,"(11, 0)",-23.6507214,-23.623704399999998,-46.822750808,-46.79573380800001
243,"(11, 1)",-23.6507214,-23.623704399999998,-46.795723808000005,-46.768706808000005
244,"(11, 2)",-23.6507214,-23.623704399999998,-46.768696808,-46.74167980800001
245,"(11, 3)",-23.6507214,-23.623704399999998,-46.741669808000005,-46.714652808000004
246,"(11, 4)",-23.6507214,-23.623704399999998,-46.714642808,-46.68762580800001
247,"(11, 5)",-23.6507214,-23.623704399999998,-46.687615808000004,-46.660598808
248,"(11, 6)",-23.6507214,-23.623704399999998,-46.660588808,-46.633571808000006
249,"(11, 7)",-23.6507214,-23.623704399999998,-46.633561808,-46.606544808
250,"(11, 8)",-23.6507214,-23.623704399999998,-46.606534808,-46.579517808000006
251,"(11, 9)",-23.6507214,-23.623704399999998,-46.579507808,-46.552490808
252,"(11, 10)",-23.6507214,-23.623704399999998,-46.552480808,-46.525463808000005
253,"(11, 11)",-23.6507214,-23.623704399999998,-46.525453808,-46.49843680800001
254,"(11, 12)",-23.6507214,-23.623704399999998,-46.498426808000005,-46.471409808000004
255,"(11, 13)",-23.6507214,-23.623704399999998,-46.471399808,-46.44438280800001
256,"(11, 14)",-23.6507214,-23.623704399999998,-46.444372808000004,-46.417355808
257,"(11, 15)",-23.6507214,-23.623704399999998,-46.417345808,-46.39032880800001
258,"(11, 16)",-23.6507214,-23.623704399999998,-46.390318808,-46.363301808
259,"(11, 17)",-23.6507214,-23.623704399999998,-46.363291808,-46.336274808000006
260,"(11, 18)",-23.6507214,-23.623704399999998,-46.336264808,-46.309247808
261,"(11, 19)",-23.6507214,-23.623704399999998,-46.309237808,-46.282220808000005
262,"(11, 20)",-23.6507214,-23.623704399999998,-46.282210808,-46.25519380800001
263,"(11, 21)",-23.6507214,-23.623704399999998,-46.255183808000005,-46.228166808000005
264,"(12, 0)",-23.623694399999998,-23.596677399999997,-46.822750808,-46.79573380800001
265,"(12, 1)",-23.623694399999998,-23.596677399999997,-46.795723808000005,-46.768706808000005
266,"(12, 2)",-23.623694399999998,-23.596677399999997,-46.768696808,-46.74167980800001
267,"(12, 3)",-23.623694399999998,-23.596677399999997,-46.741669808000005,-46.714652808000004
268,"(12, 4)",-23.623694399999998,-23.596677399999997,-46.714642808,-46.68762580800001
269,"(12, 5)",-23.623694399999998,-23.596677399999997,-46.687615808000004,-46.660598808
270,"(12, 6)",-23.623694399999998,-23.596677399999997,-46.660588808,-46.633571808000006
271,"(12, 7)",-23.623694399999998,-23.596677399999997,-46.633561808,-46.606544808
272,"(12, 8)",-23.623694399999998,-23.596677399999997,-46.606534808,-46.579517808000006
273,"(12, 9)",-23.623694399999998,-23.596677399999997,-46.579507808,-46.552490808
274,"(12, 10)",-23.623694399999998,-23.596677399999997,-46.552480808,-46.525463808000005
275,"(12, 11)",-23.623694399999998,-23.596677399999997,-46.525453808,-46.49843680800001
276,"(12, 12)",-23.623694399999998,-23.596677399999997,-46.498426808000005,-46.471409808000004
277,"(12, 13)",-23.623694399999998,-23.596677399999997,-46.471399808,-46.44438280800001
278,"(12, 14)",-23.623694399999998,-23.596677399999997,-46.444372808000004,-46.417355808
279,"(12, 15)",-23.623694399999998,-23.596677399999997,-46.417345808,-46.39032880800001
280,"(12, 16)",-23.623694399999998,-23.596677399999997,-46.390318808,-46.363301808
281,"(12, 17)",-23.623694399999998,-23.596677399999997,-46.363291808,-46.336274808000006
282,"(12, 18)",-23.623694399999998,-23.596677399999997,-46.336264808,-46.309247808
283,"(12, 19)",-23.623694399999998,-23.596677399999997,-46.309237808,-46.282220808000005
284,"(12, 20)",-23.623694399999998,-23.596677399999997,-46.282210808,-46.25519380800001
285,"(12, 21)",-23.623694399999998,-23.596677399999997,-46.255183808000005,-46.228166808000005
286,"(13, 0)",-23.596667399999998,-23.569650399999997,-46.822750808,-46.79573380800001
287,"(13, 1)",-23.596667399999998,-23.569650399999997,-46.795723808000005,-46.768706808000005
288,"(13, 2)",-23.596667399999998,-23.569650399999997,-46.768696808,-46.74167980800001
289,"(13, 3)",-23.596667399999998,-23.569650399999997,-46.741669808000005,-46.714652808000004
290,"(13, 4)",-23.596667399999998,-23.569650399999997,-46.714642808,-46.68762580800001
291,"(13, 5)",-23.596667399999998,-23.569650399999997,-46.687615808000004,-46.660598808
292,"(13, 6)",-23.596667399999998,-23.569650399999997,-46.660588808,-46.633571808000006
293,"(13, 7)",-23.596667399999998,-23.569650399999997,-46.633561808,-46.606544808
294,"(13, 8)",-23.596667399999998,-23.569650399999997,-46.606534808,-46.579517808000006
295,"(13, 9)",-23.596667399999998,-23.569650399999997,-46.579507808,-46.552490808
296,"(13, 10)",-23.596667399999998,-23.569650399999997,-46.552480808,-46.525463808000005
297,"(13, 11)",-23.596667399999998,-23.569650399999997,-46.525453808,-46.49843680800001
298,"(13, 12)",-23.596667399999998,-23.569650399999997,-46.498426808000005,-46.471409808000004
299,"(13, 13)",-23.596667399999998,-23.569650399999997,-46.471399808,-46.44438280800001
300,"(13, 14)",-23.596667399999998,-23.569650399999997,-46.444372808000004,-46.417355808
301,"(13, 15)",-23.596667399999998,-23.569650399999997,-46.417345808,-46.39032880800001
302,"(13, 16)",-23.596667399999998,-23.569650399999997,-46.390318808,-46.363301808
303,"(13, 17)",-23.596667399999998,-23.569650399999997,-46.363291808,-46.336274808000006
304,"(13, 18)",-23.596667399999998,-23.569650399999997,-46.336264808,-46.309247808
305,"(13, 19)",-23.596667399999998,-23.569650399999997,-46.309237808,-46.282220808000005
306,"(13, 20)",-23.596667399999998,-23.569650399999997,-46.282210808,-46.25519380800001
307,"(13, 21)",-23.596667399999998,-23.569650399999997,-46.255183808000005,-46.228166808000005
308,"(14, 0)",-23.569640399999997,-23.5426234,-46.822750808,-46.79573380800001
309,"(14, 1)",-23.569640399999997,-23.5426234,-46.795723808000005,-46.768706808000005
310,"(14, 2)",-23.569640399999997,-23.5426234,-46.768696808,-46.74167980800001
311,"(14, 3)",-23.569640399999997,-23.5426234,-46.741669808000005,-46.714652808000004
312,"(14, 4)",-23.569640399999997,-23.5426234,-46.714642808,-46.68762580800001
313,"(14, 5)",-23.569640399999997,-23.5426234,-46.687615808000004,-46.660598808
314,"(14, 6)",-23.569640399999997,-23.5426234,-46.660588808,-46.633571808000006
315,"(14, 7)",-23.569640399999997,-23.5426234,-46.633561808,-46.606544808
316,"(14, 8)",-23.569640399999997,-23.5426234,-46.606534808,-46.579517808000006
317,"(14, 9)",-23.569640399999997,-23.5426234,-46.579507808,-46.552490808
318,"(14, 10)",-23.569640399999997,-23.5426234,-46.552480808,-46.525463808000005
319,"(14, 11)",-23.569640399999997,-23.5426234,-46.525453808,-46.49843680800001
320,"(14, 12)",-23.569640399999997,-23.5426234,-46.498426808000005,-46.471409808000004
321,"(14, 13)",-23.569640399999997,-23.5426234,-46.471399808,-46.44438280800001
322,"(14, 14)",-23.569640399999997,-23.5426234,-46.444372808000004,-46.417355808
323,"(14, 15)",-23.569640399999997,-23.5426234,-46.417345808,-46.39032880800001
324,"(14, 16)",-23.569640399999997,-23.5426234,-46.390318808,-46.363301808
325,"(14, 17)",-23.569640399999997,-23.5426234,-46.363291808,-46.336274808000006
326,"(14, 18)",-23.569640399999997,-23.5426234,-46.336264808,-46.309247808
327,"(14, 19)",-23.569640399999997,-23.5426234,-46.309237808,-46.282220808000005
328,"(14, 20)",-23.569640399999997,-23.5426234,-46.282210808,-46.25519380800001
